movie	title	title_eng	year	grade
10096	고스트버스터즈 2	Ghostbusters II , 1989	1990	PG
10097	굿모닝 베트남	Good Morning, Vietnam , 1987		15세 관람가
10098	자유의 댄스	Footloose , 1984		PG
10099	남과 여	Un Homme Et Une Femme , A Man And A Woman , 1966	1979	15세 관람가
10100	탑건	Top Gun , 1986	2018	15세 관람가
10101	로마의 휴일	Roman Holiday , 1953	1955	NR
10102	사운드 오브 뮤직	The Sound Of Music , 1965	2017	전체 관람가
10103	닥터 지바고	Doctor Zhivago , 1965	2012	12세 관람가
10104	사관과 신사	An Officer And A Gentleman , 1982	1983	청소년 관람불가
10105	사랑은 비를 타고	Singin' In The Rain , 1952	1954	전체 관람가
10106	카사블랑카	Casablanca , 1942	1999	12세 관람가
10107	아웃 오브 아프리카	Out Of Africa , 1985	1986	PG
10108	그리스 2	Grease 2 , 1982		PG
10109	호소자	好小子 , Young Dragons: Kung Fu Kids , 1986	1986	NR
10110	영웅본색	英雄本色 , A Better Tomorrow , 1986	2016	15세 관람가
10111	영웅본색 2	英雄本色 II , A Better Tomorrow II , 1987	2016	15세 관람가
10112	영웅본색 3	英雄本色 III - 夕陽之歌: A Better Tomorrow III , 1989	2016	15세 관람가
10113	첩혈쌍웅	牒血雙雄 , The Killer , 1989	2016	청소년 관람불가
10114	아마데우스	Amadeus , 1984	2015	12세 관람가
10115	용형호제 2 - 비룡계획	飛鷹計劃 , Armour Of God II: Operation Condor , 1990	2015	전체 관람가
10116	스플래쉬	Splash , 1984	1988	PG
10117	라붐	La Boum , 1980	2013	15세 관람가
10118	라붐 2	La Boum 2 , 1982	1986	15세 관람가
10119	엘리게이터	Alligator , 1980	1981	청소년 관람불가
10120	엘리게이터 2	Alligator II: The Mutation , 1991	1991	PG-13
10121	내 이름은 튜니티	Lo chiamavano Trinita , They Call Me Trinity... , 1970	1979	12세 관람가
10122	트와이라잇	Twilight , 1998		청소년 관람불가
10123	튜니티라 불러다오	...Continuavano A Chiamarlo Trinita , Trinity Is Still My Name! , 1972		G
10124	에어플레인	Airplane! , 1980		15세 관람가
10125	에어플레인 2	Airplane II: The Sequel , 1982		15세 관람가
10126	강시번생	殭屍翻生 , New Mr. Vampire , 1986	1988	NR
10127	스타 탄생	A Star Is Born , 1976	1977	NR
10128	디어 헌터	Die durch die Holle gehen , The Deer Hunter , 1978	1979	청소년 관람불가
10129	캐디쉑	Caddyshack , 1980		R
10130	미드나잇 익스프레스	Midnight Express , 1978	1996	청소년 관람불가
10131	캐논볼	Carrera de locos , The Cannonball Run , 1981	2015	15세 관람가
10132	귀여운 여인	Pretty Woman , 1990	1990	청소년 관람불가
10133	고래 사냥	Whale Hunting , 1984	1984	12세 관람가
10134	고래 사냥 2	Whale Hunting 2 , 1985	1985	15세 관람가
10135	차이나타운	Chinatown , 1974		청소년 관람불가
10136	파라다이스	Paradise , 1982		청소년 관람불가
10137	펌프킨헤드	Pumpkinhead , 1988	1989	15세 관람가
10138	정복자 펠레	Pelle Erovraren , Pelle The Conqueror , 1987	1989	12세 관람가
10139	파울 플레이	Foul Play , 1978	1980	PG
10140	매드 맥스	Mad Max , 1979	1980	청소년 관람불가
10141	매드 맥스 2	The Road Warrior , 1981		청소년 관람불가
10142	매드 맥스 3	Mad Max: Beyond Thunderdome , 1985	1985	PG-13
10143	애정의 조건	Terms Of Endearment xxx , 1983	1984	PG
10144	햄릿	Hamlet , 1990		15세 관람가
10145	아메리칸 지골로	Ein Mann fur gewisse Stunden , American Gigolo , 1980	1985	청소년 관람불가
10146	나인 하프 위크	Nine 1/2 Weeks , 1986	1986	청소년 관람불가
10147	인도로 가는 길	A Passage To India , 1984	1986	15세 관람가
10148	최가박당	光頭神探적장元 最佳拍 , Aces Go Places , 1982	1983	NR
10149	나이트메어	A Nightmare On Elm Street , 1984	1985	청소년 관람불가
10150	바보들의 행진	The March Of Fools , 1975	1975	NR
10151	바람 불어 좋은 날	Good Windy Day , 1980	1980	청소년 관람불가
10152	자전거 도둑	Ladri Di Biciclette , The Bicycle Thief , 1948	1952	NR
10153	로보트 태권V	Robot Taekwon V , 1976	2007	전체 관람가
10154	폴링 인 러브	Falling In Love , 1984	1987	청소년 관람불가
10155	007 살인번호	Dr. No , 1962	1965	NR
10156	007 위기일발	From Russia With Love , 1963	1973	NR
10157	007 골드핑거	Ian Fleming's Goldfinger , 1964	2015	NR
10158	007 선더볼 작전	Thunderball , 1965	1969	PG
10159	007 두번 산다	You Only Live Twice , 1967	1969	PG
10160	007 카지노 로얄	Casino Royale , 1967	1971	NR
10161	007과 여왕	On Her Majesty's Secret Service , 1969	1970	PG
10162	007 다이아몬드는 영원히	Diamonds Are Forever , 1971	1972	PG
10163	007 죽느냐 사느냐	Live And Let Die , 1973	1973	PG
10164	007 황금총을 가진 사나이	The Man With The Golden Gun , 1974	1975	PG
10165	007 나를 사랑한 스파이	The Spy Who Loved Me , 1977	1978	15세 관람가
10166	007 문레이커	Moonraker , 1979	1981	15세 관람가
10167	007 유어 아이스 온리	For Your Eyes Only , 1981	1982	PG
10168	007 네버 세이 네버 어게인	Never Say Never Again , 1983	1983	PG
10169	007 옥터퍼시	Octopussy , 1983	1984	NR
10170	007 뷰 투 어 킬	A View To A Kill , 1985	1985	PG
10171	007 리빙 데이라이트	The Living Daylights , 1987	1989	15세 관람가
10172	007 살인면허	Licence To Kill , 1989	1989	12세 관람가
10173	사랑과 영혼	Ghost , 1990	2017	15세 관람가
10174	지저스 크라이스트 슈퍼스타	Jesus Christ Superstar , 1973		G
10175	스탠리와 아이리스	Stanley & Iris , 1990		PG-13
10176	남과 북	North And South , 1985	1985	
10177	남과 북 2	North And South II , 1986	1986	
10178	13일의 금요일	Friday The 13th , 1980	1981	15세 관람가
10179	하이 눈	High Noon , 1952	1954	15세 관람가
10180	대통령을 만드는 사람들	Favorite Son , 1988	1988	
10181	정무문	精武門 , Fist Of Fury , 1972	2013	15세 관람가
10182	용쟁호투	Enter The Dragon , 1973	1973	청소년 관람불가
10183	맹룡과강	猛龍過江 , The Way Of The Dragon , 1972	2013	15세 관람가
10184	당산대형	唐山大兄 , The Big Boss , 1971	2015	15세 관람가
10185	로미오와 줄리엣	Romeo And Juliet , 1968	1978	12세 관람가
10186	돌아이	Imbecile , 1985	1985	12세 관람가
10187	13일의 금요일 2	Friday The 13th, Part 2 , 1981		청소년 관람불가
10188	13일의 금요일 3	Friday The 13th Part III , 1982		청소년 관람불가
10189	13일의 금요일 4	Friday The 13th, The Final Chapter , 1984	1985	청소년 관람불가
10190	코난 - 바바리안	Conan: The Barbarian , 1981	1983	청소년 관람불가
10191	코난 2 - 디스트로이어	Conan The Destroyer , 1984	1986	PG
10192	레드 소냐	Red Sonja , 1985	1985	PG-13
10193	호소자 2	好小子II , Kung Fu Kids II , 1987	1987	NR
10194	호소자 3 - 고아유랑기	The Kung Fu Kid Part 3 , 1988	1988	NR
10195	호소자 4	Kung Fu Kid Part 4 , 1988	1988	NR
10196	호소자 5	好小子 5 : 萬能運動員 , Kung Fu Kids Part V : The Adventure of Kung Fu Kids , 1988		NR
10197	호소자 6	好小子 6 : 小龍過江 , Kung Fu Kids Part VI : Enter the Young Dragon , 1989	1989	NR
10198	호소자 7 - 격투기 챔피언 아강			NR
10199	겨울 여자	Winter Woman , 1977	1977	청소년 관람불가
10200	터미네이터 2:오리지널	Terminator 2: Judgment Day , 1991	2019	15세 관람가
10201	칵테일	Cocktail , 1988	1990	청소년 관람불가
10202	이장호의 외인구단	Lee Jang-ho's Baseball Team , 1986	1986	12세 관람가
10203	지존계상	至尊計狀 , No Risk, No Gain , 1990	1990	NR
10204	컬러 오브 머니	The Color Of Money , 1986	1987	청소년 관람불가
10205	그날 이후	The Day After , 1983		
10206	벤자민 일등병	Private Benjamin , 1980		청소년 관람불가
10207	갈매기의 꿈	Jonathan Livingston Seagull , 1973	1980	NR
10208	자유부인	自由夫人 , Madame Freedom , 1956	2004	12세 관람가
10209	어게인스트	Against All Odds , 1984	1984	청소년 관람불가
10210	아파치	Fire Birds , 1990	1990	PG-13
10211	스턴트맨의 음모	Viva Knievel! , Seconds To Live , 1977		PG
10212	누구를 위하여 종은 울리나	For Whom The Bell Tolls , 1943	1957	12세 관람가
10213	뮤직 박스	Music Box , 1989	1990	15세 관람가
10214	도협	至尊無上 III - 睹俠 , God Of Gamblers II , 1990		15세 관람가
10215	엠마뉴엘	Emmanuelle , 1974	1994	청소년 관람불가
10216	레드 히트	Red Heat , 1988	1989	15세 관람가
10217	로보캅	RoboCop , 1987	1987	15세 관람가
10218	로보캅 2	Robocop 2 , 1990	1990	15세 관람가
10219	메이저 리그	Major League , 1989	1989	12세 관람가
10220	핑크 팬더	The Pink Panther , 1963		12세 관람가
10221	핑크 팬더 2 - 어둠 속에 총성이	A Shot In The Dark , 1964		PG
10222	핑크 팬더 3 - 돌아온 핑크 팬더	Return Of The Pink Panther , 1974		G
10223	핑크 팬더 4 - 핑크 팬더의 역습	The Pink Panther Strikes Again , 1976	1978	PG
10224	핑크 팬더 5 : 핑크 팬더의 복수	Revenge Of The Pink Panther , 1978		12세 관람가
10225	핑크 팬더 6 - 핑크 팬더의 추적	Trail Of The Pink Panther , 1982		PG
10226	핑크 팬더 7 - 핑크 팬더의 저주	Curse Of The Pink Panther , 1983		PG
10227	형사 클루조	Inspector Clouseau , 1968		NR
10228	나자리노	Nazareno Cruz Y El Lobo , Nazareno Cruz and the Wolf , 1974	1979	NR
10229	화니 레이디	Funny Lady , 1975		NR
10230	개 같은 내 인생	Mitt Liv Som Hund , My Life As A Dog , 1985	2018	15세 관람가
10231	돈가방을 든 수녀	Nuns On The Run , 1990	1990	15세 관람가
10232	그날이 오면	On The Beach , 1959	1962	12세 관람가
10233	날개	Wings , 1927		NR
10234	오멘 2	Damien: Omen II , 1978	1979	15세 관람가
10235	남태평양	South Pacific , 1958		15세 관람가
10236	스트리트 오브 파이어	Streets Of Fire , 1984	1984	PG
10237	7년만의 외출	The Seven Year Itch , 1955	1957	15세 관람가
10238	레인 맨	Rain Man , 1988	1989	12세 관람가
10239	그대는 내 인생의 빛	You Light Up My Life , 1977		PG
10240	황금 연못	On Golden Pond , 1981		PG
10241	내츄럴	The Natural , 1984	1987	청소년 관람불가
10242	더티 댄싱	Dirty Dancing , 1987	2007	15세 관람가
10243	북북서로 진로를 돌려라	North By Northwest , 1959	1960	12세 관람가
10244	늑대와 춤을	Dances With Wolves , 1990	1991	12세 관람가
10245	다이 하드 2	Die Hard 2 , 1990	1990	15세 관람가
10246	다크맨	Darkman , 1990	1990	15세 관람가
10247	도마단	刀馬旦 , Peking Opera Blues , 1986	1993	15세 관람가
10248	리오 브라보	Rio Bravo , 1959		NR
10249	모던 타임즈	Modern Times , 1936	2015	전체 관람가
10250	해리가 샐리를 만났을 때	When Harry Met Sally... , 1989	2016	15세 관람가
10251	미지와의 조우	Close Encounters Of The Third Kind , 1977	1982	전체 관람가
10252	배트맨	Batman , 1966		NR
10253	배트맨	Batman , 1989	1990	15세 관람가
10254	나의 길을 가련다	Going My Way , 1944		NR
10255	노틀담의 꼽추	The Hunchback Of Notre Dame , 1923		NR
10256	노틀담의 꼽추	The Hunchback Of Notre Dame , 1939	1948	NR
10257	노틀담의 꼽추	Notre-Dame de Paris , The Hunchback Of Notre Dame , 1956	1957	12세 관람가
10258	노틀담의 꼽추	The Hunchback Of Notre Dame , 1982		PG
10259	베스트 키드	The Karate Kid , 1984	1985	12세 관람가
10260	베스트 키드 2	The Karate Kid, Part II , 1986		PG
10261	베스트 키드 3	The Karate Kid III , 1989		PG
10262	델마와 루이스	Thelma & Louise , 1991	2017	청소년 관람불가
10263	돌아오지 않는 강	River Of No Return , 1954	1955	15세 관람가
10264	39 계단	The 39 Steps , 1935		12세 관람가
10265	39 계단	The Thirty-Nine Steps , 1959	1960	15세 관람가
10266	39 계단	The Thirty-Nine Steps , 1978		PG
10267	삼총사	The Three Musketeers , 1948	1954	NR
10268	뉴욕세남자와아기	3 Men And A Baby , 1987	1990	12세 관람가
10269	마네킨	Mannequin , 1987	1987	청소년 관람불가
10270	마네킨 2	Mannequin: On The Move , 1991	1991	12세 관람가
10271	맨발의 청춘	The Barefooted Young , 1964	1964	15세 관람가
10272	미드나잇 카우보이	Midnight Cowboy , 1969	1975	15세 관람가
10273	스위치	Switch , 1991	1991	청소년 관람불가
10274	엑설런트 어드벤쳐	Bill & Ted's Excellent Adventure , 1989	1989	PG
10275	니키타	La Femme Nikita , Nikita , 1990	2016	15세 관람가
10276	의문의 실종	Missing , 1982		PG
10277	박쥐성의 무도회	The Fearless Vampire Killers Or Pardon Me, But Your Teeth Are In My Neck , 1967		NR
10278	백야	White Nights , 1985	1986	PG-13
10279	헨리 5세	Henry V , 1944	1952	NR
10280	벤	Ben , 1972		PG
10281	보디 히트	Body Heat , 1981	1982	청소년 관람불가
10282	스탠 바이 미	Stand By Me , 1986	2014	청소년 관람불가
10283	마농의 샘	Jean De Florette , 1986		15세 관람가
10284	마농의 샘 2	Manon Des Sources , Manon Of The Spring , 1986	1992	12세 관람가
10285	올 댓 재즈	All That Jazz , 1979		청소년 관람불가
10286	뜨거운 것이 좋아	Some Like It Hot , 1959	1961	NR
10287	로맨싱 스톤	Romancing The Stone , 1984	1984	15세 관람가
10288	미니버 부인	Mrs. Miniver , 1942		NR
10289	부베의 여인	La Ragazza Di Bube , Bebo's Girl , 1963		NR
10290	부시맨	The Gods Must Be Crazy , 1980	1983	PG
10291	부시맨 2	The Gods Must Be Crazy II , 1989	1989	12세 관람가
10292	부시맨 4 - 크레이지 홍콩	香港也 狂: Crazy Hong Kong , 1993	1993	NR
10293	불의 전차	Chariots Of Fire , 1981	2016	12세 관람가
10294	브이 - 5부작 미니시리즈	V , 1983	1983	
10295	빗 속의 방문객	Le Passage De La Pluie , Rider On The Rain , 1970		PG
10296	사막의 라이온	Lion Of The Desert , 1981	1981	12세 관람가
10297	부러진 화살	Broken Arrow , 1950		NR
10298	복수	報仇 , Vengeance! , 1970	1970	NR
10299	투씨	Tootsie , 1982	1983	전체 관람가
10300	간디	Gandhi , 1982	1989	15세 관람가
10301	시티 라이트	City Lights , 1931	2015	전체 관람가
10302	나의 성공의 비밀	The Secret Of My Succe$s , 1987	1990	PG-13
10303	괴물 디 오리지널	The Thing From Another World , 1951		NR
10304	괴물	The Thing , 1982		청소년 관람불가
10305	나이트호크	Nighthawks , 1981	1987	청소년 관람불가
10306	프로젝트 A	A 計劃: , Project A , 1983	2015	15세 관람가
10307	프로젝트A 2 : A계획 속집	A 計劃續集 , Project A II , 1987	2015	12세 관람가
10308	드라큐라	Dracula , 1931		15세 관람가
10309	너에게로 또다시	1990	1991	12세 관람가
10310	마이키 이야기	Look Who's Talking , 1989	1990	15세 관람가
10311	사랑의 행로	The Fabulous Baker Boys , 1989	1992	15세 관람가
10312	똑바로 살아라	Do The Right Thing , 1989		청소년 관람불가
10313	뜨거운 오후	Dog Day Afternoon , 1975		15세 관람가
10314	마지막 황제	末代皇帝溥儀 , The Last Emperor , 1987	2015	12세 관람가
10315	모정	Love Is A Many-Splendored Thing , 1955	1972	12세 관람가
10316	미시시피 버닝	Mississippi Burning , 1988		청소년 관람불가
10317	버디	Birdy , 1984		15세 관람가
10318	7일간의 사랑	Man, Woman And Child , 1983	1987	PG
10319	형사 조르당	Le Marginal , The Outsider , 1983		NR
10320	사랑할 때와 이별할 때	Paroles Et Musique , Love Songs , 1984	1990	NR
10321	살인광 시대	Monsieur Verdoux , 1947	2015	전체 관람가
10322	소피의 선택	Sophie's Choice , 1982		15세 관람가
10323	쉘부르의 우산	Les Parapluies De Cherbourg , The Umbrellas Of Cherbourg , 1964	2019	12세 관람가
10324	메릴스트립의실크우드	Silkwood , 1983		청소년 관람불가
10325	빗속의 병사	Soldier In The Rain , 1963		NR
10326	사브리나	Sabrina , 1954	1956	15세 관람가
10327				
10328	서부 개척사	How The West Was Won , 1962	1966	NR
10329	스카페이스	Scarface , 1932	2006	15세 관람가
10330	스카페이스	Scarface , 1983	1984	청소년 관람불가
10331	엘비라 마디간	Elvira Madigan , 1967	1990	PG
10332	신의 아들	Son Of God , 1986	1986	청소년 관람불가
10333	지상 최대의 작전	The Longest Day , 1962		전체 관람가
10334	아라비아의 로렌스	Lawrence Of Arabia , 1962	1998	12세 관람가
10335	석양의 무법자	Per qualche dollaro in piu , For A Few Dollars More , 1965	1967	12세 관람가
10336	암흑가의 두 사람	Deux Hommes Dans La Ville , Two Men In Town , 1973	1993	NR
10337	빌리티스	Bilitis , 1977	1988	청소년 관람불가
10338	북경의 55일	55 Days At Peking , 1963		NR
10339	프로토콜	Protocol , 1984		PG
10340	흑인 오르페	Orfeu Negro , 1959		15세 관람가
10341	위대한 독재자	The Great Dictator , 1940	2015	전체 관람가
10342	3중대의 병사들	The Boys In Company C , 1978		청소년 관람불가
10343	레베카	Rebecca , 1940	1954	15세 관람가
10344	말타의 매	The Maltese Falcon , 1941		12세 관람가
10345	무숙자	My Name Is Nobody , 1973	1976	NR
10346	미시시피 마살라	Mississippi Masala , 1991		R
10347	누가 버지니아 울프를 두려워하랴	Who's Afraid Of Virginia Woolf , 1966		12세 관람가
10348	벨테네브로스	Beltenebros , Prince Of Shadows , 1991		
10349	황야의 7인	The Magnificent Seven , 1960	1962	NR
10350	성조기의 행진	Yankee Doodle Dandy , 1942		NR
10351	베드룸 윈도우	The Bedroom Window , 1987	1987	청소년 관람불가
10352	세 남자와 아기 2	3 Men And A Little Lady , 1990	1991	PG
10353	시민 케인	Citizen Kane , 1941		15세 관람가
10354	아리랑	1926	1926	NR
10355	블루문 특급 - 파일롯	Moonlighting , 1985		15세 관람가
10356	아침의 영광	Morning Glory , 1933		NR
10357	어느날 밤에 생긴 일	It Happened One Night , 1934		15세 관람가
10358	애니 홀	Annie Hall , 1977		PG
10359	브로드캐스트 뉴스	Broadcast News , 1987	1988	15세 관람가
10360	사의 찬미	死의 讚美: Death Song , 1991	1991	15세 관람가
10361	서부 전선 이상 없다	All Quiet On The Western Front , 1930		
10362	소오강호	笑傲江湖 , Swordsman , 1990	1990	12세 관람가
10363	신사는 금발을 좋아한다	Gentlemen Prefer Blondes , 1953	1955	15세 관람가
10364	셰넌도어	Shenandoah , 1965		NR
10365	철십자 훈장	Cross Of Iron , 1977	1978	청소년 관람불가
10366	아틱 히트	Artic Heat , Born American , 1986	1986	청소년 관람불가
10367	서스피션	Suspicion , 1941		15세 관람가
10368	사운더	Sounder , 1972		G
10369	사이공	Saigon , Off Limits , 1988	1989	NR
10370	아이큐 제로	Les Sous-Doues , 1980	1990	15세 관람가
10371	브룩클린으로 가는 마지막 비상구	Last Exit To Brooklyn , 1989	1990	청소년 관람불가
10372	빗나간 모정	Wife, Mother, Murderer: The Marie Hilley Story , 1991		
10373	스타 이즈 본 디 오리지널	A Star Is Born , 1937		12세 관람가
10374	스타 탄생	A Star Is Born , 1954		PG
10375	아미티빌의 저주	The Amityville Horror , 1979	1981	청소년 관람불가
10376	아미티빌 2	Amityville II: The Possession , 1982		청소년 관람불가
10377	아미티빌 3	Amityville 3-D , Amityville III: The Demon , 1983		PG
10378	알제리 전투	La Battaglia Di Algeri , The Battle Of Algiers , 1966	2009	15세 관람가
10379	어둠 속에 벨이 울릴 때	Play Misty For Me , 1971		청소년 관람불가
10380	애정은 강물처럼	Blossoms In The Dust , 1941		NR
10381	에덴의 동쪽	East Of Eden , 1955	1957	15세 관람가
10382	어벤저	Kickboxer , 1989	1989	15세 관람가
10383	북경 익스프레스	Peking Express , 1951		NR
10384	여로	The Journey , 1959	1959	NR
10385	우리에게 내일은 없다	Bonnie And Clyde , 1967		청소년 관람불가
10386	열정	St. Elmo's Fire , 1985		청소년 관람불가
10387	아 카르멜라	I Ay, Carmela! , 1990		NR
10388	워킹 걸	Working Girl , 1988	1990	청소년 관람불가
10389	양철북	Die Blechtrommel , The Tin Drum , 1979	1988	청소년 관람불가
10390	크로커다일 던디	'Crocodile' Dundee , 1986	1987	15세 관람가
10391	크로커다일 던디 2	'Crocodile' Dundee II , 1988	1990	NR
10392	나일의 대모험	The Jewel Of The Nile , 1985	1991	12세 관람가
10393	객도추한	客途秋恨: Autumnal Lament In Exile , 1990		NR
10394	그리스도 최후의 유혹	The Last Temptation Of Christ , 1988	2002	청소년 관람불가
10395	플래시댄스	Flashdance , 1983	1983	청소년 관람불가
10396	피라미드의 공포	Young Sherlock Holmes , 1985	1988	PG-13
10397	남부군	南部軍 , North Korean Partisan In South Korea , 1990	1990	15세 관람가
10398	낯선 사람과 춤을	Dance With A Stranger , 1985		청소년 관람불가
10399	에프 엑스	FX: Murder By Illusion , 1986	1986	15세 관람가
10400	킹콩	King Kong , 1933	1957	NR
10401	비버리 힐스 캅	Beverly Hills Cop , 1984	1985	15세 관람가
10402	비버리 힐스 캅 2	Beverly Hills Cop II , 1987	1989	15세 관람가
10403	네트워크	Network , 1976		15세 관람가
10404	성난 황소	Raging Bull , 1980		15세 관람가
10405	라임라이트	Limelight , 1952	1989	NR
10406	서울 무지개	Seoul Rainbow , 1989	1989	청소년 관람불가
10407	선샤인	Sunshine , 1973	1978	
