people	korean	original
426	F. 머레이 아브라함	F. Murray Abraham
429	페이 베인터	Fay Bainter
430	페이 더너웨이	Faye Dunaway
431	페이 그란트	Faye Grant
434	페르난도 레이	Fernando Rey
437	포레스트 휘태커	Forest Whitaker
438	프란시스 맥도맨드	Frances McDormand
439	프란시스 포드 코폴라	Francis Ford Coppola
441	프란코 제피렐리	Franco Zeffirelli
444	프랑수아 트뤼포	Francois Truffaut
446	프랭크 카프라	Frank Capra
448	프랭크 란젤라	Frank Langella
449	프랭크 로이드	Frank Lloyd
455	프레드 진네만	Fred Zinnemann
457	프레드릭 마치	Fredric March
463	게리 마샬	Garry Marshall
465	게리 쿠퍼	Gary Cooper
468	게리 올드만	Gary Oldman
472	지나 데이비스	Geena Davis
473	진 핵크만	Gene Hackman
481	조지 C. 스콧	George Campbell Scott
483	조지 큐커	George Cukor
484	조지 라젠비	George Lazenby
486	조지 루카스	George Lucas
487	조지 밀러	George Miller
488	조지 P. 코스마토스	George P. Cosmatos
489	조지 페파드	George Peppard
490	조지 샌더스	George Sanders
491	조지 시걸	George Segal
495	제랄딘 채플린	Geraldine Chaplin
496	제라르 드빠르디유	Gerard Depardieu
498	지나 거손	Gina Gershon
500	글렌 클로즈	Glenn Close
503	글렌 포드	Glenn Ford
504	글렌 헤들리	Glenne Headly
506	골디 혼	Goldie Hawn
508	고든 더글러스	Gordon Douglas
509	그레이스 켈리	Grace Kelly
510	그리어 가슨	Greer Garson
514	그레고리 펙	Gregory Peck
517	그리핀 던	Griffin Dunne
519	구스 반 산트	Gus Van Sant
524	홀 버틀렛	Hall Bartlett
525	할리 베리	Halle Berry
527	미셀 퀴시	Michel Qissi
528	장 뤽 고다르	Jean-Luc Godard
532	해롤드 벡커	Harold Becker
533	해롤드 래미스	Harold Ramis
535	해리슨 포드	Harrison Ford
539	하비 케이틀	Harvey Keitel
541	장-루이 트린티냥	Jean-Louis Trintignant
542	해티 맥대니얼	Hattie McDaniel
549	헥터 엘리존도	Hector Elizondo
552	헬렌 미렌	Helen Mirren
553	헬렌 슬레이터	Helen Slater
554	헬레나 본햄 카터	Helena Bonham Carter
556	헨리 폰다	Henry Fonda
557	헨리 헤서웨이	Henry Hathaway
560	허버트 로스	Herbert Ross
562	허브 빌리체이즈	Herve Villechaize
574	홀리 헌터	Holly Hunter
576	호르스트 부흐홀츠	Horst Buchholz
577	하워드 혹스	Howard Hawks
580	빌리 제인	Billy Zane
583	휴 허드슨	Hugh Hudson
585	험프리 보가트	Humphrey Bogart
586	이안 홈	Ian Holm
591	잉그리드 버그만	Ingrid Bergman
592	이렌느 야곱	Irene Jacob
593	어빈 커쉬너	Irvin Kershner
595	어윈 윙클러	Irwin Winkler
597	이사벨라 로셀리니	Isabella Rossellini
605	이반 라이트만	Ivan Reitman
607	J. 리 톰슨	J. Lee Thompson
609	잭 클레이튼	Jack Clayton
610	잭 레먼	Jack Lemmon
611	잭 니콜슨	Jack Nicholson
612	재키 쿠퍼	Jackie Cooper
616	킹 비더	King Vidor
618	제임스 브리지스	James Bridges
619	제임스 칸	James Caan
620	제임스 카그니	James Cagney
621	제임스 카메론	James Cameron
622	제임스 크롬웰	James Cromwell
623	제임스 딘	James Dean
629	제임스 아이보리	James Ivory
632	제임스 메이슨	James Mason
633	제임스 스페이더	James Spader
635	제임스 스튜어트	James Stewart
636	황점	
638	제임스 우즈	James Woods
644	제이미 리 커티스	Jamie Lee Curtis
647	제인 알렉산더	Jane Alexander
648	마빈 J. 촘스키	Marvin J. Chomsky
649	로드 홀콤	Rod Holcomb
651	제인 다웰	Jane Darwell
652	제인 폰다	Jane Fonda
653	제인 마치	Jane March
654	제인 세이모어	Jane Seymour
655	자넷 게이노	Janet Gaynor
659	전준	
667	진 아서	Jean Arthur
669	장 가뱅	Jean Gabin
671	장 르노	Jean Reno
673	장 끌로드 반담	Jean-Claude Van Damme
674	장 위그 앙글라드	Jean-Hugues Anglade
675	장 자크 아노	Jean-Jacques Annaud
676	쟝 루이스 바롤트	Jean-Louis Barrault
677	장 루이 리샤르	Jean-Louis Richard
682	쟝 뽈 벨몽도	Jean-Paul Belmondo
684	잔느 모로	Jeanne Moreau
685	진 트리플혼	Jeanne Tripplehorn
686	지놋 스작	Jeannot Szwarc
687	제프 브리지스	Jeff Bridges
688	제프 다니엘스	Jeff Daniels
689	제프 골드브럼	Jeff Goldblum
691	제넷 골드스타인	Jenette Goldstein
693	제니퍼 빌즈	Jennifer Beals
694	제니퍼 코넬리	Jennifer Connelly
696	제니퍼 그레이	Jennifer Grey
697	제니퍼 제이슨 리	Jennifer Jason Leigh
698	제니퍼 존스	Jennifer Jones
703	제레미 아이언스	Jeremy Irons
709	제시카 랭	Jessica Lange
710	질 세인트 존	Jill St. John
714	짐 자무쉬	Jim Jarmusch
718	조안 첸	Joan Chen
719	조안 쿠삭	Joan Cusack
721	조안 폰테인	Joan Fontaine
723	조안나 파큘라	Joanna Pacula
724	조디 포스터	Jodie Foster
725	조 페시	Joe Pesci
727	조엘 코엔	Joel Coen
728	플리	Flea
731	조엘 슈마허	Joel Schumacher
732	조엘리 리차드슨	Joely Richardson
736	존 바담	John Badham
738	존 베리	John Berry
742	존 캔디	John Candy
744	존 카펜터	John Carpenter
745	존 클리즈	John Cleese
746	존 쿠삭	John Cusack
750	존 플린	John Flynn
751	존 프랑켄하이머	John Frankenheimer
752	존 G. 아빌드센	John G. Avildsen
753	존 게빈	John Gavin
754	존 굿맨	John Goodman
756	존 행콕	John Hancock
759	존 휴즈	John Hughes
760	존 아일랜드	John Ireland
764	존 레논	John Lennon
765	존 린치	John Lynch
767	존 말코비치	John Malkovich
769	존 맥티어난	John McTiernan
770	존 밀리어스	John Milius
776	존 세비지	John Savage
779	존 스터지스	John Sturges
780	존 트라볼타	John Travolta
782	존 터투로	John Turturro
784	존 웨인	John Wayne
788	조니 뎁	Johnny Depp
793	존 보이트	Jon Voight
795	조나단 드미	Jonathan Demme
797	조나단 카프란	Jonathan Kaplan
798	조나단 린	Jonathan Lynn
803	호세 페레	Jose Ferrer
807	조셉 쉴드크로트	Joseph Schildkraut
810	주디 덴치	Judi Dench
811	주디스 앤더슨	Judith Anderson
814	줄리아 로버츠	Julia Roberts
817	줄리 앤드류스	Julie Andrews
818	줄리 크리스티	Julie Christie
824	주디 갈랜드	Judy Garland
828	쥬스트 쟈킨	Just Jaeckin
834	신도 카네토	Kaneto Shindo
835	칼 말든	Karl Malden
836	케이트 캡쇼	Kate Capshaw
838	캐서린 헵번	Katharine Hepburn
839	캐슬린 퀸란	Kathleen Quinlan
840	캐서린 터너	Kathleen Turner
841	캐서린 비글로우	Kathryn Bigelow
848	키아누 리브스	Keanu Reeves
849	쿠마이 케이	Kei Kumai
851	키스 데이빗	Keith David
852	켈리 르브락	Kelly LeBrock
855	켈리 맥길리스	Kelly McGillis
856	켈리 프레스톤	Kelly Preston
858	오가타 켄	Ken Ogata
859	다카쿠라 켄	Ken Takakura
862	케네스 브래너	Kenneth Branagh
864	케리 그린	Kerri Green
865	케빈 베이컨	Kevin Bacon
867	케빈 코스트너	Kevin Costner
868	케빈 훅스	Kevin Hooks
870	케빈 클라인	Kevin Kline
875	케빈 스페이시	Kevin Spacey
878	키퍼 서덜랜드	Kiefer Sutherland
881	킴 베이싱어	Kim Basinger
887	커크 더글라스	Kirk Douglas
889	커스티 앨리	Kirstie Alley
892	클라우스 마리아 브랜다우어	Klaus Maria Brandauer
897	크리스 크리스토퍼슨	Kris Kristofferson
899	톰 베린저	Tom Berenger
900	윌리엄 포사이스	William Forsythe
901	크리스티 스완슨	Kristy Swanson
902	크쥐시토프 키에슬로프스키	Krzysztof Kieslowski
906	커트 러셀	Kurt Russell
908	라나 터너	Lana Turner
913	로렌스 피시번	Laurence Fishburne
914	로렌스 올리비에	Laurence Olivier
916	로렌스 캐스단	Lawrence Kasdan
917	리 톰슨	Lea Thompson
920	레나 올린	Lena Olin
921	레너드 니모이	Leonard Nimoy
923	레오 카락스	Leos Carax
925	레슬리 앤 다운	Lesley-Anne Down
926	레슬리 하워드	Leslie Howard
928	레슬리 닐슨	Leslie Nielsen
930	루이스 길버트	Lewis Gilbert
931	리암 니슨	Liam Neeson
932	리브 슈라이버	Liev Schreiber
934	릴리 테일러	Lili Taylor
935	릴리 톰린	Lily Tomlin
936	린다 피오렌티노	Linda Fiorentino
937	린다 해밀턴	Linda Hamilton
938	린다 헌트	Linda Hunt
939	린지 앤더슨	Lindsay Anderson
946	로이드 브리지스	Lloyd Bridges
951	루 다이아몬드 필립스	Lou Diamond Phillips
953	뤽 베송	Luc Besson
955	루시아나 팔루치	Luciana Paluzzi
956	루이지 코지	Luigi Cozzi
957	루이스 부뉴엘	Luis Bunuel
960	루이즈 라이너	Luise Rainer
963	린 홀리 존슨	Lynn-Holly Johnson
970	황빈	
971	맥컬리 컬킨	Macaulay Culkin
974	매들린 스토우	Madeleine Stowe
975	매들린 칸	Madeline Kahn
976	마돈나	Madonna
980	이와마츠 마코	Mako
991	마그 헬젠버거	Marg Helgenberger
992	마곳 키더	Margot Kidder
1000	마릴린 먼로	Marilyn Monroe
1004	마리오 반 피블스	Mario Van Peebles
1007	마크 해밀	Mark Hamill
1014	마리 매트린	Marlee Matlin
1015	마를렌 디트리히	Marlene Dietrich
1017	말론 브란도	Marlon Brando
1020	마틴 브레스트	Martin Brest
1022	마틴 로렌스	Martin Lawrence
1023	마틴 리트	Martin Ritt
1024	마틴 스코세이지	Martin Scorsese
1025	마틴 쉰	Martin Sheen
1026	마틴 숏	Martin Short
1029	매리 애스터	Mary Astor
1031	메리 스틴버겐	Mary Steenburgen
1032	매리 스튜어트 매스터슨	Mary Stuart Masterson
1038	메이슨 애덤스	Mason Adams
1044	매튜 브로데릭	Matthew Broderick
1045	매튜 모딘	Matthew Modine
1051	막스 폰 시도우	Max Von Sydow
1053	멕 라이언	Meg Ryan
1054	멕 틸리	Meg Tilly
1055	멜 깁슨	Mel Gibson
1061	메릴 스트립	Meryl Streep
1062	미아 패로	Mia Farrow
1064	마이클 빈	Michael Biehn
1066	마이클 케인	Michael Caine
1067	마이클 치미노	Michael Cimino
1068	마이클 더글라스	Michael Douglas
1069	마이클 듀디코프	Michael Dudikoff
1073	존 캐러딘	John Carradine
1074	조스 아클랜드	Joss Ackland
1075	마이클 아이언사이드	Michael Ironside
1076	마이클 J. 폭스	Michael J. Fox
1085	마이클 파레	Michael Pare
1094	미켈란젤로 안토니오니	Michelangelo Antonioni
1096	미셸 파이퍼	Michelle Pfeiffer
1098	미키 루크	Mickey Rourke
1102	마이크 피기스	Mike Figgis
1106	마이크 뉴웰	Mike Newell
1107	마이크 니콜스	Mike Nichols
1109	미하일 바리시니코프	Mikhail Baryshnikov
1113	밀로스 포만	Milos Forman
1117	미란다 리차드슨	Miranda Richardson
1118	시미즈 미사	Misa Shimizu
1125	모니카 비티	Monica Vitti
1126	몽고메리 클리프트	Montgomery Clift
1130	미스터 티	Mr. T
1135	낸시 트래비스	Nancy Travis
1138	나스타샤 킨스키	Nastassja Kinski
1139	나탈리 우드	Natalie Wood
1143	네이단 레인	Nathan Lane
1144	네드 비티	Ned Beatty
1150	네빌 브랜드	Neville Brand
1155	니콜라스 레이	Nicholas Ray
1157	닉 놀테	Nick Nolte
1160	니콜라스 케이지	Nicolas Cage
1172	노라 던	Nora Dunn
1177	노만 주이슨	Norman Jewison
1179	O.J. 심슨	O.J. Simpson
1180	올리버 플랫	Oliver Platt
1181	올리버 스톤	Oliver Stone
1182	올리비아 핫세	Olivia Hussey
1183	올리비아 뉴튼 존	Olivia Newton-John
1186	올림피아 듀카키스	Olympia Dukakis
1187	오마 샤리프	Omar Sharif
1190	오손 웰즈	Orson Welles
1197	팻 오코너	Pat O'Connor
1199	패트리샤 아퀘트	Patricia Arquette
1205	패트릭 스웨이지	Patrick Swayze
1210	줄리안 글로버	Julian Glover
1211	앨리슨 두디	Alison Doody
1212	폴 헌레이드	Paul Henreid
1213	폴 마주르스키	Paul Mazursky
1215	폴 무니	Paul Muni
1216	폴 뉴먼	Paul Newman
1217	폴 슈레이더	Paul Schrader
1218	폴 소르비노	Paul Sorvino
1220	폴 버호벤	Paul Verhoeven
1224	파벨 룽긴	Pavel Lungin
1227	페니 마샬	Penny Marshall
1230	페르시스 캄바타	Persis Khambatta
1232	피터 버그	Peter Berg
1236	피터 커싱	Peter Cushing
1237	피터 폰다	Peter Fonda
1239	피터 갤러거	Peter Gallagher
1243	피터 하이암스	Peter Hyams
1245	피터 맥도널드	Peter MacDonald
1247	피터 오툴	Peter O'Toole
1248	피터 셀러스	Peter Sellers
1253	피터 위어	Peter Weir
1256	필립 카우프만	Philip Kaufman
1260	피비 케이츠	Phoebe Cates
1267	R. 리 이메이	R. Lee Ermey
1269	레이첼 워드	Rachel Ward
1276	랄프 마치오	Ralph Macchio
1277	랠프 리처드슨	Ralph Richardson
1278	랜다 헤인즈	Randa Haines
1279	랜달 크레이저	Randal Kleiser
1280	라울 줄리아	Raul Julia
1281	레이 리오타	Ray Liotta
1283	레바 매킨타이어	Reba McEntire
1284	레베카 드 모네이	Rebecca De Mornay
1285	리즈 위더스푼	Reese Witherspoon
1286	레지날드 벨존슨	Reginald Veljohnson
1289	르네 클레망	Rene Clement
1290	르네 루소	Rene Russo
1292	레니 할린	Renny Harlin
1293	렉스 해리슨	Rex Harrison
1294	리차드 아텐보로	Richard Attenborough
1295	리차드 베이머	Richard Beymer
1297	리차드 버튼	Richard Burton
1298	리차드 크레나	Richard Crenna
1299	리차드 도너	Richard Donner
1300	리차드 드레이퓨즈	Richard Dreyfuss
1302	리차드 플레이셔	Richard Fleischer
1303	리차드 기어	Richard Gere
1304	리처드 레스터	Richard Lester
1305	리차드 마퀀드	Richard Marquand
1306	리차드 위드마크	Richard Widmark
1308	릭 슈로더	Rick Schroder
1309	리들리 스콧	Ridley Scott
1313	리버 피닉스	River Phoenix
1315	로브 로우	Rob Lowe
1317	로브 라이너	Rob Reiner
1319	로버트 알드리치	Robert Aldrich
1320	로버트 알트만	Robert Altman
1322	로베르 브레송	Robert Bresson
1323	로버트 버틀러	Robert Butler
1327	로버트 드 니로	Robert De Niro
1329	로버트 도냇	Robert Donat
1330	로버트 듀발	Robert Duvall
1331	로버트 잉글런드	Robert Englund
1332	로베르 오셍	Robert Hossein
1334	로버트 미첨	Robert Mitchum
1335	로버트 패리시	Robert Parrish
1336	로버트 레드포드	Robert Redford
1338	로버트 쇼	Robert Shaw
1339	로버트 숀 레오나드	Robert Sean Leonard
1342	로버트 유리히	Robert Urich
1343	로버트 본	Robert Vaughn
1344	로버트 와그너	Robert Wagner
1345	로버트 와이즈	Robert Wise
1346	로버트 영	Robert Young
1347	로버트 저메키스	Robert Zemeckis
1349	로빈 윌리엄스	Robin Williams
1350	록 허드슨	Rock Hudson
1352	로드 스테이거	Rod Steiger
1354	로드니 A. 그랜트	Rodney A. Grant
1359	로저 무어	Roger Moore
1362	롤랑 조페	Roland Joffe
1365	로만 폴란스키	Roman Polanski
1366	론 하워드	Ron Howard
1368	론 실버	Ron Silver
1369	로널드 님	Ronald Neame
1370	로니 콕스	Ronny Cox
1371	로잔나 아퀘트	Rosanna Arquette
1373	로지 페레즈	Rosie Perez
1381	로이 샤이더	Roy Scheider
1385	룻거 하우어	Rutger Hauer
1389	라이언 오닐	Ryan O'Neal
1396	살 미네오	Sal Mineo
1402	샘 페킨파	Sam Peckinpah
1404	샘 레이미	Sam Raimi
1408	사무엘 L. 잭슨	Samuel L. Jackson
1411	샌디 데니스	Sandy Dennis
1417	전풍	Tien Feng
1418	스콧 글렌	Scott Glenn
1422	숀 코네리	Sean Connery
1428	세르지오 레오네	Sergio Leone
1432	하야카와 세슈	Sessue Hayakawa
1434	샤론 스톤	Sharon Stone
1444	셜리 나이트	Shirley Knight
1445	셜리 맥클레인	Shirley MacLaine
1451	시드니 퓨리	Sidney J. Furie
1452	시드니 루멧	Sidney Lumet
1453	시드니 포이티어	Sidney Poitier
1454	시고니 위버	Sigourney Weaver
1457	사이먼 윈서	Simon Wincer
1458	씨씨 스페이식	Sissy Spacek
1461	소피아 코폴라	Sofia Coppola
1463	손드라 록	Sondra Locke
1464	오순택	Soon-Tek Oh
1465	소피아 로렌	Sophia Loren
1466	소피 마르소	Sophie Marceau
1470	스파이크 리	Spike Lee
1471	황추생	Anthony Wong
1472	스탠리 크레이머	Stanley Kramer
1473	스탠리 큐브릭	Stanley Kubrick
1475	관금붕	Guan Jinpang
1477	스티븐 볼드윈	Stephen Baldwin
1485	스티븐 헤렉	Stephen Herek
1486	스티븐 홉킨스	Stephen Hopkins
1491	스티브 맥퀸	Steve McQueen
1493	스티븐 시걸	Steven Seagal
1494	스티븐 소더버그	Steven Soderbergh
1495	스티븐 스필버그	Steven Spielberg
1497	스튜어트 그레인저	Stewart Granger
1498	스튜어트 로젠버그	Stuart Rosenberg
1501	수잔 서랜든	Susan Sarandon
1502	수잔 세이들먼	Susan Seidelman
1506	시드니 폴락	Sydney Pollack
1507	실베스터 스탤론	Sylvester Stallone
1508	실비아 크리스텔	Sylvia Kristel
1515	탈리아 샤이어	Talia Shire
1522	테일러 핵포드	Taylor Hackford
1524	테드 코체프	Ted Kotcheff
1525	테드 포스트	Ted Post
1527	텔리 사바라스	Telly Savalas
1528	테렌스 스탬프	Terence Stamp
1529	테레사 라이트	Teresa Wright
1530	테리 가	Teri Garr
1532	테렌스 맬릭	Terrence Malick
1534	테리 길리엄	Terry Gilliam
1539	토마스 밋첼	Thomas Mitchell
1543	팀 버튼	Tim Burton
1544	팀 커리	Tim Curry
1546	팀 로빈스	Tim Robbins
1548	티모시 달튼	Timothy Dalton
1549	티모시 허튼	Timothy Hutton
1550	틴토 브라스	Tinto Brass
1556	톰 아놀드	Tom Arnold
1557	톰 커트니	Tom Courtenay
1558	톰 크루즈	Tom Cruise
1560	톰 행크스	Tom Hanks
1563	톰 셀렉	Tom Selleck
1564	톰 새디악	Tom Shadyac
1566	토미 리 존스	Tommy Lee Jones
1570	토니 빌	Tony Bill
1572	토니 커티스	Tony Curtis
1574	토니 스콧	Tony Scott
1576	트리트 윌리암스	Treat Williams
1577	트리니 알바라도	Trini Alvarado
1578	울루 그로스바드	Ulu Grosbard
1580	우슬라 안드레스	Ursula Andress
1581	발 킬머	Val Kilmer
1583	발레리 페린	Valerie Perrine
1584	밴 헤플린	Van Heflin
1585	바네사 레드그레이브	Vanessa Redgrave
1586	바네사 윌리암스	Vanessa Williams
1588	빅터 플레밍	Victor Fleming
1593	빈센트 도노프리오	Vincent D'Onofrio
1594	뱅상 랭동	Vincent Lindon
1605	비비안 리	Vivien Leigh
1609	월레스 비어리	Wallace Beery
1611	월터 브레넌	Walter Brennan
1612	월터 힐	Walter Hill
1618	워렌 비티	Warren Beatty
1622	웨스 크레이븐	Wes Craven
1623	웨슬리 스나입스	Wesley Snipes
1625	우피 골드버그	Whoopi Goldberg
1627	윌렘 대포	Willem Dafoe
1628	윌리암 볼드윈	William Baldwin
1631	윌리엄 프리드킨	William Friedkin
1633	윌리엄 홀든	William Holden
1634	윌리엄 허트	William Hurt
1635	윌리암 샤트너	William Shatner
1636	빔 벤더스	Wim Wenders
1638	위노나 라이더	Winona Ryder
1640	우디 앨런	Woody Allen
1663	율 브린너	Yul Brynner
1666	이브 몽땅	Yves Montand
1668	잘만 킹	Zalman King
1672	강리나	
1673	강문	Jiang Wen
1675	강문영	
1678	강수연	
1683	견자단	Donnie Yen Ji-Dan
1686	고두심	
1688	고웅	Ko Hung
1690	공리	
1696	관산	Kwan Shan
1697	관수미	
1698	관지림	
1699	구숙정	
1702	귀아뢰	Gua Ah Lei
1703	글로리아 입	Gloria Yip
1719	김민종	
1731	김수용	Kim Soo-Yong
1732	김수철	
1733	김수형	Kim Suhyeong
1735	김승우	
1736	김승현	
1739	김영빈	
1740	김영애	
1761	김혜수	
1763	김호선	
1769	나운규	
1770	나한일	
1782	매염방	
1784	문성근	
1787	문정숙	
1797	박원숙	
1798	로라 산 지아코모	Laura San Giacomo
1799	박인환	
1800	박중훈	
1807	방은희	
1809	배종옥	
1810	배창호	
1816	서극	Hark Tsui
1822	성룡	Jackie Chan
1829	송재호	
1832	신상옥	
1833	강신성일	
1834	신승수	
1835	신은경	
1838	신현준	
1841	심형래	
1842	심혜진	
1843	안성기	
1844	에드워드 양	양덕창
1849	양자경	
1850	양조위	Tony Leung Chiu Wai
1860	오우삼	John Woo
1864	옥소리	
1866	왕가위	Kar Wai Wong
1869	왕정	Wong Jing
1870	왕조현	
1873	원결영	
1874	원규	
1875	원미경	
1877	원표	Yuen Biao
1878	원화평	
1879	임총	
1886	유청운	Ching Wan Lau
1887	유현목	
1892	이동승	
1894	이명세	
1902	이소룡	Bruce Lee
1909	이영하	
1912	이재은	
1931	임권택	IM Kwon Teak
1932	임달화	Simon Yam
1938	임청하	
1945	장국영	
1949	장만옥	
1951	장미희	
1952	장민	
1954	장선우	
1957	실비아 창	Sylvia Chang
1958	장이머우	Zhang Yimou
1968	적룡	Lung Ti
1970	전무송	
1972	전영록	
1975	정보석	
1980	정지영	
1985	정한용	
1989	종초홍	종초홍
1993	주성치	
1994	주윤발	Chow Yun Fat
1995	조재현	
2000	천카이거	Chen Kaige
2011	최무룡	
2012	최민수	
2015	최불암	최영한
2016	최수종	
2022	최진실	
2024	하명중	
2029	하희라	
2033	한진희	
2034	황신혜	황정만
2044	허안화	Ann Hui
2045	홍금보	Sammo Hung Kam-Bo
2046	허우 샤오시엔	후효현
2055	빌리 밥 손튼	Billy Bob Thornton
2056	안드레이 줄랍스키	Andrzej Zulawski
2057	볼프강 페터젠	Wolfgang Petersen
2059	줄리엣 비노쉬	Juliette Binoche
2064	주증녀	
2067	제임스 루소	James Russo
2068	미겔 페레	Miguel Ferrer
