movie,people,order,leading
10016,2711,4,1
10016,9499,5,1
10016,4713,6,1
10016,10246,7,0
10016,9497,8,0
10016,9496,9,0
10016,9498,10,0
10016,7187,11,0
10017,2354,1,1
10017,667,2,1
10017,1584,3,0
10017,10253,4,0
10018,10272,1,1
10018,171721,2,1
10018,4655,3,1
10018,5001,4,1
10018,375,5,1
10018,10273,6,0
10018,343,7,0
10018,10274,8,0
10018,10275,9,0
10018,10276,10,0
10018,7473,11,0
10018,10277,12,0
10019,1216,1,1
10019,1336,2,1
10019,2403,3,1
10019,4899,4,0
10019,4900,5,0
10019,4901,6,0
10019,4902,7,0
10019,4847,8,0
10020,279,1,1
10020,1605,2,1
10020,926,3,1
10020,8415,4,1
10020,1539,5,0
10020,10085,6,0
10020,8427,7,0
10020,8433,8,0
10020,10079,9,0
10020,10086,10,0
10020,542,11,0
10020,10290,12,0
10020,10291,13,0
10020,10292,14,0
10020,10293,15,0
10021,1507,1,1
10021,1515,2,0
10021,198,3,0
10021,208,4,0
10021,10301,5,0
10022,1507,1,1
10022,1515,2,0
10022,198,3,0
10022,208,4,0
10022,10301,5,0
10023,1507,1,1
10023,1515,2,1
10023,198,3,1
10023,208,4,1
10023,10301,5,1
10023,10311,6,0
10023,1130,7,0
10024,1507,1,1
10024,1515,2,1
10024,198,3,1
10024,208,4,1
10024,179,5,1
10024,10311,6,0
10024,10334,7,0
10024,364,8,0
10025,1507,1,1
10025,1515,2,0
10025,198,3,0
10025,4933,4,0
10025,10345,5,0
10025,10346,6,0
10025,10301,7,0
10026,1055,1,1
10026,4779,2,1
10026,5053,3,0
10026,11004,4,0
10026,5477,5,0
10026,6854,6,0
10027,1055,1,1
10027,4779,2,1
10027,725,3,0
10027,1074,4,0
10027,2960,5,0
10027,7051,6,0
10028,99,1,1
10028,1064,2,1
10028,937,3,1
10028,2085,4,1
10028,8733,5,0
10029,1381,1,1
10029,1338,2,1
10029,1300,3,1
10029,10447,4,0
10029,5982,5,0
10030,1381,1,1
10030,10447,2,1
10030,5982,3,1
10030,10460,4,0
10031,352,1,1
10031,8701,2,1
10031,10474,3,1
10031,5059,4,1
10031,10475,5,0
10032,10447,1,1
10032,10497,2,1
10032,1004,3,0
10032,5112,4,0
10032,1066,5,0
10032,10498,6,0
10032,10499,7,0
10032,10501,8,0
10033,535,1,1
10033,3368,2,1
10033,6356,3,1
10033,6358,4,0
10033,4320,5,0
10033,4755,6,0
10033,6359,7,0
10033,89,8,0
10034,535,1,1
10034,836,2,1
10034,2318,3,0
10035,535,1,1
10035,346,2,0
10035,1211,3,0
10035,4320,4,0
10035,1210,5,0
10035,1313,6,0
10035,1422,7,0
10036,99,1,1
10036,10555,2,0
10036,3127,3,0
10036,10556,4,0
10036,10557,5,0
10037,4739,1,1
10037,1454,2,1
10037,16552,3,1
10037,6052,4,1
10037,4327,5,1
10037,586,6,1
10037,2463,7,1
10037,81065,8,0
10037,81066,9,0
10038,1454,1,1
10038,1064,2,1
10038,7049,3,1
10038,2085,4,1
10038,10587,5,1
10038,2080,6,0
10038,10588,7,0
10038,10589,8,0
10038,10590,9,0
10038,691,10,0
10039,232,1,1
10039,899,2,1
10039,1627,3,1
10039,437,4,0
10039,10596,5,0
10039,2788,6,0
10039,6165,7,0
10039,10597,8,0
10039,10598,9,0
10039,851,10,0
10039,788,11,0
10039,9282,12,0
10039,10599,13,0
10039,10600,14,0
10039,2789,15,0
10039,10601,16,0
10039,10602,17,0
10039,10603,18,0
10039,10604,19,0
10039,10605,20,0
10039,108530,21,0
10040,2319,1,1
10040,4598,2,1
10040,45405,3,1
10040,2321,4,1
10040,864,5,1
10040,6855,6,1
10040,2318,7,1
10040,6856,8,0
10040,2320,9,0
10040,3601,10,0
10040,6857,11,0
10041,473,1,1
10041,8588,2,1
10041,10616,3,1
10041,10617,4,1
10041,4505,5,1
10041,10618,6,1
10041,10619,7,1
10041,6930,8,0
10041,10620,9,0
10041,8999,10,0
10041,10621,11,0
10041,928,12,0
10041,10622,13,0
10041,16075,14,0
10041,10623,15,0
10041,10624,16,0
10041,16283,17,0
10041,86512,18,0
10041,86513,19,0
10042,1633,1,1
10042,10630,2,1
10042,35,3,1
10042,1432,4,1
10042,2940,5,1
10042,204063,6,1
10042,10631,7,0
10042,16408,8,0
10042,33055,9,0
10042,10634,10,0
10042,32486,11,0
10042,10636,12,0
10043,514,1,1
10043,3791,2,1
10043,10649,3,1
10043,5980,4,1
10043,10650,5,0
10043,10651,6,0
10043,10652,7,0
10043,10653,8,0
10044,1338,1,1
10044,535,2,1
10044,112,3,1
10044,385,4,1
10044,10666,5,1
10044,208,6,0
10044,10667,7,0
10044,7079,8,0
10044,5561,9,0
10044,10668,10,0
10044,10669,11,0
10044,10671,12,0
10045,2464,1,1
10045,8078,2,1
10045,767,3,0
10045,2442,4,0
10045,2532,5,0
10045,4715,6,0
10045,6546,7,0
10046,1491,1,1
10046,376,2,1
10046,10292,3,0
10046,10234,4,0
10046,9893,5,0
10046,10691,6,0
10046,7565,7,0
10047,1216,1,1
10047,1336,2,1
10047,1338,3,1
10047,4182,4,0
10047,4893,5,0
10047,4894,6,0
10047,4895,7,0
10047,4896,8,0
10047,4897,9,0
10047,4898,10,0
10047,10704,11,0
10048,1349,1,1
10048,1339,2,0
10048,2089,3,0
10048,8801,4,0
10048,8802,5,0
10048,8803,6,0
10048,8812,7,0
10048,8804,8,0
10048,7469,9,0
10048,8805,10,0
10048,3236,11,0
10048,8806,12,0
10048,8807,13,0
10049,10724,1,1
10049,1260,2,1
10049,10725,3,1
10049,10726,4,1
10049,9157,5,1
10049,4667,6,1
10049,10431,7,0
10049,6957,8,0
10049,10727,9,0
10049,10728,10,0
10049,2321,11,0
10049,10731,12,0
10049,10732,13,0
10050,8319,1,1
10050,8320,2,1
10050,753,3,1
10050,5300,4,0
10050,10737,5,0
10050,10738,6,0
10050,10739,7,0
10050,10740,8,0
10050,10741,9,0
10050,10742,10,0
10050,10743,11,0
10050,10744,12,0
10050,5474,13,0
10051,8319,1,1
10051,8320,2,1
10051,2331,3,1
10051,1054,4,1
10051,6360,5,0
10051,10756,6,0
10051,10757,7,0
10052,8319,1,1
10052,10768,2,1
10052,7355,3,1
10052,10769,4,1
10052,10756,5,0
10052,10760,6,0
10052,10757,7,0
10053,2211,1,1
10053,1350,2,1
10053,623,3,1
10053,6921,4,1
10053,10781,5,0
10053,10782,6,0
10053,10783,7,0
10054,951,1,1
10054,5452,2,0
10054,38165,3,0
10054,2698,4,0
10054,10801,5,0
10054,10802,6,0
10054,3601,7,0
10055,1507,1,1
10055,1298,2,0
10055,7784,3,0
10055,6387,4,0
10055,5967,5,0
10055,10821,6,0
10055,3369,7,0
10055,10822,8,0
10055,10823,9,0
10055,323,10,0
10055,10824,11,0
10055,10825,12,0
10055,35239,13,0
10055,97697,14,0
10055,97698,15,0
10055,97699,16,0
10055,23783,17,0
10055,97700,18,0
10055,95194,19,0
10055,30015,20,0
10055,186,21,0
10055,97701,22,0
10055,97702,23,0
10055,343654,24,0
10055,200967,25,0
10055,169514,26,0
10055,343653,27,0
10056,1507,1,1
10056,1298,2,0
10056,10833,3,0
10056,3152,4,0
10057,1507,1,1
10057,1298,2,0
10057,10907,3,0
10057,3236,4,0
10057,10908,5,0
10058,237,1,1
10058,10630,2,1
10058,10914,3,1
10058,10915,4,1
10058,7033,5,0
10058,10916,6,0
10058,10917,7,0
10058,11920,8,0
10059,183,1,1
10059,10939,2,1
10059,1444,3,0
10059,9324,4,0
10059,8996,5,0
10059,7464,6,0
10059,10091,7,0
10060,667,1,1
10060,635,2,1
10060,283,3,0
10060,15277,4,0
10060,27425,5,0
10060,1539,6,0
10060,59896,7,0
10061,99,1,1
10061,208,2,0
10061,10975,3,0
10061,3168,4,0
10061,10884,5,0
10061,5740,6,0
10061,10976,7,0
10061,10397,8,0
10061,14291,9,0
10061,5925,10,0
10062,4779,1,1
10062,5053,2,1
10062,8584,3,1
10062,10977,4,1
10062,2080,5,1
10062,5925,6,1
10062,2320,7,1
10062,5,8,1
10062,7295,9,0
10062,10978,10,0
10062,10979,11,0
10063,9173,1,1
10063,1833,2,1
10063,19216,3,0
10063,2805,4,0
10063,41362,5,0
10063,7870,6,0
10063,39213,7,0
10063,54104,8,0
10064,237,1,1
10064,1663,2,1
10064,4503,3,1
10064,18824,4,1
10064,106451,5,1
10064,14141,6,1
10064,14639,7,1
10064,14044,8,0
10064,16105,9,0
10064,10916,10,0
10064,811,11,0
10064,16573,12,0
10064,1073,13,0
10064,128550,14,0
10064,15824,15,0
10064,33204,16,0
10064,14594,17,0
10064,18103,18,0
10064,94273,19,0
10064,5269,20,0
10064,15273,21,0
10064,128551,22,0
10065,395,1,1
10065,1051,2,1
10065,3283,3,1
10065,6922,4,1
10065,2888,5,1
10065,10981,6,1
10065,3278,7,1
10065,45087,8,0
10065,19965,9,0
10065,26810,10,0
10065,32880,11,0
10065,45088,12,0
10065,45089,13,0
10065,45090,14,0
10065,45091,15,0
10065,45092,16,0
10065,15972,17,0
10065,45094,18,0
10065,3523,19,0
10065,28577,20,0
10065,17311,21,0
10065,15897,22,0
10065,10783,23,0
10066,514,1,1
10066,2725,2,1
10066,10982,3,0
10066,10983,4,0
10066,10984,5,0
10066,10985,6,0
10066,13071,7,0
10067,1829,1,1
10067,54377,2,1
10067,2015,3,1
10067,10987,4,1
10068,867,1,1
10068,7380,2,1
10068,71,3,1
10068,1327,4,0
10068,1422,5,0
10069,290,1,1
10069,10990,2,0
10069,10991,3,0
10069,10992,4,0
10069,10993,5,0
10070,197,1,1
10070,887,2,1
10070,11022,3,0
10070,11023,4,0
10070,760,5,0
10071,1017,1,1
10071,15,2,1
10071,619,3,1
10071,11026,4,0
10071,1330,5,0
10071,11027,6,0
10071,8533,7,0
10071,11028,8,0
10071,11029,9,0
10071,357,10,0
10071,5775,11,0
10071,1515,12,0
10071,16582,13,0
10071,4184,14,0
10071,24895,15,0
10072,15,1,1
10072,1330,2,1
10072,357,3,1
10072,1327,4,1
10072,4184,5,0
10072,1515,6,0
10072,16267,7,0
10072,11032,8,0
10072,15224,9,0
10072,2114,10,0
10072,11033,11,0
10072,100305,12,0
10072,4982,13,0
10073,107,1,1
10073,489,2,1
10073,11034,3,0
10073,11035,4,0
10074,1635,1,1
10074,921,2,1
10074,11039,3,1
10074,11040,4,0
10074,11041,5,0
10074,11042,6,0
10074,11043,7,0
10074,34079,8,0
10074,1230,9,0
10074,3472,10,0
10075,1635,1,1
10075,921,2,1
10075,11039,3,1
10075,11040,4,0
10075,11042,5,0
10075,11041,6,0
10075,11043,7,0
10076,1635,1,1
10076,921,2,1
10076,11039,3,1
10076,11040,4,0
10076,11041,5,0
10076,11042,6,0
10076,11043,7,0
10077,1635,1,1
10077,921,2,1
10077,11039,3,1
10077,11040,4,0
10077,11041,5,0
10077,11042,6,0
10077,11043,7,0
10078,1635,1,1
10078,921,2,1
10078,11039,3,1
10078,11040,4,0
10078,11042,5,0
10078,11043,6,0
10078,11041,7,0
10078,10982,8,0
10078,13908,9,0
10079,1635,1,1
10079,921,2,1
10079,11039,3,1
10079,11040,4,0
10079,11042,5,0
10079,11043,6,0
10079,11041,7,0
10080,2466,1,1
10080,4758,2,1
10080,4759,3,1
10080,4760,4,1
10080,4761,5,1
10080,31620,6,1
10080,4762,7,0
10080,136876,8,0
10080,11044,9,0
10080,11051,10,0
10080,11045,11,0
10080,99271,12,0
10080,11046,13,0
10080,30100,14,0
10080,6773,15,0
10080,4757,16,0
10080,11047,17,0
10080,33871,18,0
10080,177930,19,0
10080,120047,20,0
10080,5844,21,0
10080,202609,22,0
10080,74717,23,0
10080,198165,24,0
10080,206764,25,0
10080,229475,26,0
10080,22602,27,0
10080,257735,28,0
10080,137206,29,0
10080,24619,30,0
10080,12571,31,0
10080,35948,32,0
10080,209965,33,0
10080,248182,34,0
10080,21654,35,0
10080,62677,36,0
10080,3703,37,0
10080,271355,38,0
10080,229474,39,0
10080,59804,40,0
10080,187214,41,0
10080,282128,42,0
10080,20123,43,0
10080,106155,44,0
10080,219937,45,0
10080,24618,46,0
10080,17826,47,0
10081,2466,1,1
10081,4760,2,1
10081,11044,3,1
10081,11045,4,1
10081,11046,5,1
10081,11047,6,1
10081,6608,7,1
10081,11048,8,1
10081,12143,9,1
10081,4761,10,1
10081,11053,11,0
10081,3521,12,0
10081,11052,13,0
10081,15786,14,0
10081,197633,15,0
10082,2466,1,1
10082,4760,2,1
10082,11044,3,1
10082,11045,4,1
10082,11047,5,1
10082,11051,6,1
10082,11048,7,1
10082,11052,8,1
10082,11053,9,1
10082,4761,10,1
10082,200566,11,0
10082,6773,12,0
10082,34554,13,0
10082,11046,14,0
10082,29356,15,0
10083,2466,1,1
10083,4760,2,1
10083,11045,3,1
10083,11044,4,1
10083,11052,5,1
10083,1434,6,1
10083,11051,7,1
10083,11047,8,1
10083,11058,9,1
10083,4759,10,1
10083,4761,11,1
10083,149203,12,0
10083,6773,13,0
10083,86935,14,0
10083,177930,15,0
10083,140071,16,0
10083,6771,17,0
10083,2621,18,0
10083,20701,19,0
10083,34000,20,0
10083,6468,21,0
10083,23577,22,0
10084,4760,1,1
10084,11044,2,1
10084,11045,3,1
10084,11051,4,1
10084,11047,5,1
10084,11057,6,1
10084,11058,7,1
10084,2428,8,0
10085,4760,1,1
10085,11045,2,1
10085,11044,3,1
10085,11047,4,1
10085,11051,5,1
10085,11058,6,0
10085,11046,7,0
10085,5941,8,0
10085,11059,9,0
10085,2428,10,0
10085,4759,11,0
10085,4761,12,0
10085,177930,13,0
10086,1327,1,1
10086,703,2,1
10086,11064,3,0
10086,9,4,0
10086,5640,5,0
10086,11065,6,0
10086,11066,7,0
10086,931,8,0
10086,11067,9,0
10086,11068,10,0
10086,87330,11,0
10086,87331,12,0
10086,87334,13,0
10087,780,1,1
10087,11069,2,0
10087,6491,3,0
10087,11070,4,0
10087,11071,5,0
10087,11072,6,0
10087,38534,7,0
10087,38535,8,0
10087,2915,9,0
10087,38536,10,0
10087,38537,11,0
10087,38538,12,0
10088,290,1,1
10088,11080,2,0
10088,13072,3,0
10088,11082,4,0
10088,6358,5,0
10088,10029,6,0
10088,11083,7,0
10089,780,1,1
10089,1183,2,1
10089,4939,3,0
10089,4940,4,0
10089,11075,5,0
10089,127208,6,0
10089,27354,7,0
10089,14013,8,0
10089,140427,9,0
10089,17413,10,0
10090,793,1,1
10090,430,2,1
10090,1308,3,1
10090,5131,4,0
10090,4904,5,0
10091,682,1,1
10091,27993,2,1
10091,8594,3,0
10091,4422,4,0
10091,17758,5,0
10092,81966,1,1
10092,6612,2,1
10092,11086,3,0
10093,8532,1,1
10093,1389,2,1
10093,8533,3,1
10093,6887,4,1
10093,8537,5,0
10093,118149,6,0
10093,8535,7,0
10093,8536,8,0
10094,11092,1,1
10094,11093,2,1
10094,11094,3,1
10094,11095,4,1
10094,11096,5,0
10094,11097,6,0
10094,11098,7,0
10094,11099,8,0
10094,36932,9,0
10095,144,1,1
10095,308,2,1
10095,1454,3,1
10095,533,4,1
10095,3388,5,1
10095,11101,6,1
10095,10134,7,1
10095,4606,8,1
10095,11105,9,0
10095,160014,10,0
10095,15027,11,0
10095,160015,12,0
10095,8740,13,0
10096,144,1,1
10096,308,2,1
10096,1454,3,1
10096,533,4,1
10096,3388,5,1
10096,4606,6,1
10096,10148,7,0
10096,4930,8,0
10096,11101,9,0
10096,11102,10,0
10096,11105,11,0
10096,4817,12,0
10096,14335,13,0
10096,45663,14,0
10096,45664,15,0
10097,1349,1,1
10097,437,2,0
10098,865,1,1
10098,5634,2,1
10098,361,3,1
10098,2896,4,1
10098,9157,5,0
10098,2153,6,0
10098,33105,7,0
10098,2468,8,0
10098,29431,9,0
10098,110061,10,0
10098,110062,11,0
10098,20031,12,0
10098,26137,13,0
10099,86,1,1
10099,541,2,1
10099,11113,3,0
10099,11114,4,0
10100,1558,1,1
10100,855,2,1
10100,1581,3,0
10100,5719,4,0
10100,4739,5,0
10100,1053,6,0
10100,8095,7,0
10100,1075,8,0
10101,514,1,1
10101,107,2,1
10101,11123,3,0
10101,11124,4,0
10101,11125,5,0
10101,11126,6,0
10102,817,1,1
10102,3072,2,1
10102,30191,3,1
10102,4921,4,1
10102,11129,5,0
10102,13080,6,0
10102,56472,7,0
10102,38578,8,0
10102,56471,9,0
10102,56473,10,0
10102,15006,11,0
10102,56474,12,0
10102,56475,13,0
10102,38023,14,0
10103,1187,1,1
10103,495,2,1
10103,818,3,1
10103,1352,4,1
10103,1557,5,1
10103,35,6,1
10103,11133,7,1
10103,1277,8,1
10103,5610,9,1
10103,30740,10,0
10103,194628,11,0
10103,13767,12,0
10103,5628,13,0
10103,187330,14,0
10103,96397,15,0
10104,1303,1,1
10104,343,2,1
10104,4881,3,0
10104,2331,4,0
10104,11134,5,0
10104,4882,6,0
10104,5059,7,0
10105,6591,1,1
10105,11135,2,1
10105,11136,3,1
10105,11137,4,0
10105,11138,5,0
10105,11139,6,0
10106,585,1,1
10106,591,2,1
10106,1212,3,1
10106,283,4,0
10106,35023,5,0
10106,14286,6,0
10106,14283,7,0
10107,1336,1,1
10107,1061,2,1
10107,892,3,0
10107,4879,4,0
10107,11143,5,0
10107,7020,6,0
10107,11144,7,0
10107,11145,8,0
10107,11146,9,0
10107,3412,10,0
10107,13770,11,0
10108,3113,1,1
10108,1096,2,1
10108,11148,3,0
10108,11149,4,0
10108,11150,5,0
10108,112754,6,0
10108,113307,7,0
10108,98008,8,0
10109,11153,1,1
10109,11154,2,1
10109,11155,3,1
10109,9546,4,1
10110,1968,1,1
10110,1994,2,1
10110,1945,3,1
10110,11157,4,0
10110,11158,5,0
10111,11159,1,1
10111,1968,2,1
10111,1945,3,1
10111,1994,4,1
10111,1696,5,0
10111,11157,6,0
10112,1994,1,1
10112,1782,2,1
10112,2608,3,0
10112,3878,4,0
10112,67202,5,0
10113,1994,1,1
10113,3049,2,1
10113,6558,3,1
10113,11160,4,0
10113,3465,5,0
10113,65104,6,0
10113,3992,7,0
10114,5280,1,1
10114,426,2,1
10114,11161,3,1
10114,6893,4,0
10114,11162,5,0
10114,4854,6,0
10114,11163,7,0
10115,1822,1,1
10115,11171,2,0
10115,11172,3,0
10115,11173,4,0
10116,1560,1,1
10116,320,2,1
10116,4629,3,1
10116,742,4,1
10116,18625,5,0
10116,47964,6,0
10116,17820,7,0
10116,9988,8,0
10116,28834,9,0
10116,35123,10,0
10117,1466,1,1
10117,11175,2,1
10117,178,3,1
10117,11176,4,0
10117,334082,5,0
10118,1466,1,1
10118,178,2,1
10118,11175,3,1
10118,11180,4,0
10118,11181,5,0
10118,11176,6,0
10118,13589,7,0
10119,2716,1,1
10119,11204,2,1
10119,11032,3,1
10119,11206,4,0
10119,33615,5,0
10119,11208,6,0
10119,15727,7,0
10119,12695,8,0
10120,5616,1,1
10120,13167,2,1
10120,11213,3,1
10120,11214,4,1
10120,11215,5,1
10120,171721,6,1
10120,5472,7,1
10120,27191,8,1
10121,5089,1,1
10121,5090,2,1
10121,11216,3,0
10121,11217,4,0
10121,11218,5,0
10121,11219,6,0
10122,1216,1,1
10122,1501,2,1
10122,473,3,1
10122,4939,4,0
10122,1285,5,0
10122,6166,6,0
10122,932,7,0
10122,2787,8,0
10122,3129,9,0
10122,12190,10,0
10122,2139,11,0
10123,5089,1,1
10123,5090,2,1
10123,245759,3,0
10123,245758,4,0
10124,11222,1,1
10124,5960,2,1
10124,11223,3,0
10124,946,4,0
10124,13169,5,0
10124,928,6,0
10124,11224,7,0
10124,7328,8,0
10124,11227,9,0
10124,6066,10,0
10124,36014,11,0
10124,10731,12,0
10124,261201,13,0
10124,99227,14,0
10124,104800,15,0
10124,80950,16,0
10124,99670,17,0
10124,199382,18,0
10124,240519,19,0
10124,210090,20,0
10124,194613,21,0
10124,140514,22,0
10124,6002,23,0
10124,29272,24,0
10124,6995,25,0
10124,27419,26,0
10124,3489,27,0
10124,94786,28,0
10124,237562,29,0
10124,11226,30,0
10124,59906,31,0
10124,30566,32,0
10124,7072,33,0
10124,19472,34,0
10124,63918,35,0
10124,267774,36,0
10124,204409,37,0
10124,116281,38,0
10124,14158,39,0
10124,211219,40,0
10124,198636,41,0
10124,198534,42,0
10124,31533,43,0
10124,201834,44,0
10124,34599,45,0
10124,192249,46,0
10124,150096,47,0
10124,4868,48,0
10124,6067,49,0
10124,13814,50,0
10124,5885,51,0
10124,118003,52,0
10124,31101,53,0
10124,50839,54,0
10124,113245,55,0
10124,92259,56,0
10125,11222,1,1
10125,5960,2,1
10125,946,3,0
10125,17382,4,0
10125,13169,5,0
10125,265,6,0
10125,1635,7,0
10125,14952,8,0
10125,5278,9,0
10125,11227,10,0
10125,7295,11,0
10125,196658,12,0
10125,16830,13,0
10125,6361,14,0
10125,34041,15,0
10125,34599,16,0
10125,34124,17,0
10125,16668,18,0
10125,31064,19,0
10125,100303,20,0
10125,36014,21,0
10125,15949,22,0
10125,104800,23,0
10125,10998,24,0
10125,756,25,0
10125,10096,26,0
10125,33422,27,0
10125,10809,28,0
10125,23622,29,0
10125,63761,30,0
10125,28019,31,0
10125,13894,32,0
10125,37821,33,0
10125,33608,34,0
10125,16286,35,0
10125,197958,36,0
10125,237559,37,0
10125,237560,38,0
10125,18273,39,0
10125,24266,40,0
10125,10756,41,0
10125,192730,42,0
10125,237561,43,0
10125,194613,44,0
10125,198780,45,0
10125,29272,46,0
10125,85201,47,0
10125,200565,48,0
10125,13812,49,0
10125,3489,50,0
10125,32846,51,0
10125,130757,52,0
10125,50654,53,0
10125,52956,54,0
10125,237562,55,0
10125,200441,56,0
10125,59906,57,0
10125,237563,58,0
10125,35336,59,0
10125,180220,60,0
10125,6592,61,0
10125,27973,62,0
10125,7349,63,0
10125,237564,64,0
10125,237565,65,0
10125,237566,66,0
10125,237567,67,0
10125,64010,68,0
10125,237568,69,0
10125,197633,70,0
10125,237569,71,0
10125,562,72,0
10125,237570,73,0
10125,30405,74,0
10125,7975,75,0
10125,33678,76,0
10125,212366,77,0
10125,11151,78,0
10125,26276,79,0
10125,31957,80,0
10125,200447,81,0
10125,31101,82,0
10125,928,83,0
10125,23749,84,0
10125,20037,85,0
10125,237571,86,0
10125,11150,87,0
10125,100659,88,0
10125,197127,89,0
10125,139317,90,0
10125,237572,91,0
10125,237573,92,0
10125,5246,93,0
10126,3957,1,1
10126,11228,2,1
10126,5826,3,1
10126,11229,4,1
10126,3828,5,0
10126,4876,6,0
10126,11230,7,0
10126,2248,8,0
10126,6577,9,0
10126,11231,10,0
10127,117,1,1
10127,897,2,1
10127,11232,3,0
10127,11233,4,0
10127,11234,5,0
10127,11235,6,0
10127,5053,7,0
10128,1327,1,1
10128,4184,2,0
10128,776,3,0
10128,1061,4,0
10128,263,5,0
10128,2082,6,0
10128,11237,7,0
10128,11238,8,0
10128,11239,9,0
10129,2708,1,1
10129,5767,2,1
10129,6025,3,1
10129,144,4,1
10129,5894,5,0
10129,124121,6,0
10129,124122,7,0
10130,7847,1,1
10130,11240,2,0
10130,11241,3,0
10130,4327,4,0
10130,3612,5,0
10130,11242,6,0
10131,3543,1,1
10131,1359,2,1
10131,2707,3,1
10131,5968,4,1
10131,16197,5,1
10131,16485,6,1
10131,14896,7,1
10131,5475,8,0
10131,96425,9,0
10131,1822,10,0
10131,32656,11,0
10131,16484,12,0
10131,1237,13,0
10131,4902,14,0
10131,5532,15,0
10131,141576,16,0
10131,103934,17,0
10131,150010,18,0
10132,1303,1,1
10132,814,2,1
10132,11247,3,0
10132,4256,4,0
10132,1798,5,0
10132,549,6,0
10133,1732,1,1
10133,2365,2,1
10133,1843,3,1
10133,5045,4,0
10133,11591,5,0
10133,8019,6,0
10133,18555,7,0
10134,1843,1,1
10134,5032,2,1
10134,1678,3,1
10134,33907,4,0
10134,41059,5,0
10134,41166,6,0
10134,8019,7,0
10134,41019,8,0
10134,54187,9,0
10135,611,1,1
10135,430,2,1
10135,5949,3,0
10135,11594,4,0
10135,198,5,0
10135,8547,6,0
10135,11595,7,0
10135,11598,8,0
10135,359,9,0
10135,11596,10,0
10136,28023,1,1
10136,1260,2,1
10136,61453,3,0
10136,61454,4,0
10136,61455,5,0
10137,2085,1,1
10137,10083,2,1
10137,196329,3,0
10137,38797,4,0
10138,1051,1,1
10138,93209,2,1
10138,93210,3,0
10138,13462,4,0
10138,93212,5,0
10138,93213,6,0
10139,506,1,1
10139,2708,2,1
10139,10301,3,0
10139,30864,4,0
10139,33699,5,0
10139,6355,6,0
10139,50245,7,0
10139,7784,8,0
10139,8179,9,0
10139,27023,10,0
10139,15682,11,0
10139,7293,12,0
10140,1055,1,1
10140,5314,2,1
10140,5313,3,1
10140,5315,4,0
10140,5316,5,0
10140,5317,6,0
10141,1055,1,1
10141,2553,2,0
10141,103591,3,0
10141,19227,4,0
10141,10556,5,0
10141,103592,6,0
10142,1055,1,1
10142,94657,2,1
10142,13252,3,0
10142,11921,4,0
10142,2553,5,0
10142,103600,6,0
10142,18444,7,0
10142,103601,8,0
10142,103602,9,0
10143,1445,1,1
10143,343,2,1
10143,611,3,1
